,index,domain,single_cluster_idx,complete_cluster_idx,average_cluster_idx,seqlen,scTM,scRMSD,pLDDT,pAE,pct_helix,pct_strand,pct_ss,pct_left_helix,task,motifRMSD
0,0,sample_56,0,0,0,53,0.549,4.105,0.702,7.459,0.472,0.0,0.472,0.0,5TPN,1.6526135
1,1,sample_31,1,1,1,69,0.426,4.592,0.512,12.445,0.565,0.0,0.565,0.0,5TPN,3.4328797
2,2,sample_50,2,2,2,67,0.774,2.153,0.623,11.014,0.358,0.134,0.493,0.0,5TPN,1.8943694
3,3,sample_27,3,3,3,72,0.753,2.702,0.626,8.65,0.319,0.0,0.319,0.0,5TPN,4.3344326
4,4,sample_92,4,4,4,55,0.401,4.724,0.517,10.813,0.218,0.145,0.364,0.0,5TPN,3.2296546
5,5,sample_57,5,5,5,69,0.433,6.534,0.744,8.95,0.565,0.0,0.565,0.0,5TPN,3.0397809
6,6,sample_53,6,6,6,60,0.669,2.538,0.658,8.437,0.567,0.0,0.567,0.0,5TPN,2.4357922
7,7,sample_62,7,7,7,62,0.544,5.389,0.523,12.618,0.371,0.0,0.371,0.0,5TPN,2.1355424
8,8,sample_93,8,8,8,54,0.506,5.521,0.582,8.598,0.63,0.0,0.63,0.0,5TPN,2.997832
9,9,sample_64,9,9,9,61,0.675,4.051,0.633,8.762,0.311,0.197,0.508,0.0,5TPN,1.7517376
10,10,sample_86,10,10,10,71,0.85,1.431,0.813,3.647,0.704,0.0,0.704,0.0,5TPN,1.0876751
11,11,sample_63,11,11,11,73,0.525,4.541,0.544,13.35,0.671,0.0,0.671,0.0,5TPN,1.5964584
12,12,sample_85,12,12,12,73,0.42,7.245,0.456,14.458,0.288,0.0,0.288,0.0,5TPN,2.995515
13,13,sample_58,13,13,13,72,0.367,9.14,0.495,13.942,0.319,0.208,0.528,0.0,5TPN,2.6286235
14,14,sample_7,14,14,14,51,0.558,4.292,0.525,13.22,0.353,0.0,0.353,0.0,5TPN,2.31239
15,15,sample_75,15,15,15,53,0.663,2.174,0.578,8.957,0.34,0.094,0.434,0.0,5TPN,1.4760495
16,16,sample_61,16,16,16,58,0.707,1.98,0.604,11.001,0.638,0.0,0.638,0.0,5TPN,1.7085696
17,17,sample_10,17,17,17,59,0.509,5.9,0.711,12.51,0.729,0.0,0.729,0.0,5TPN,2.3745153
18,18,sample_94,96,96,96,56,0.325,9.364,0.694,10.348,0.732,0.0,0.732,0.0,5TPN,6.2671947
19,19,sample_26,18,18,18,60,0.469,5.239,0.578,10.319,0.7,0.0,0.7,0.0,5TPN,5.242159
20,20,sample_87,19,19,19,53,0.722,1.835,0.715,7.447,0.321,0.34,0.66,0.0,5TPN,1.2736622
21,21,sample_66,20,20,20,73,0.619,4.994,0.552,14.782,0.493,0.0,0.493,0.0,5TPN,5.1165547
22,22,sample_68,21,21,21,60,0.671,2.966,0.667,7.548,0.167,0.3,0.467,0.0,5TPN,1.8728989
23,23,sample_18,22,22,22,63,0.622,3.112,0.623,9.435,0.635,0.0,0.635,0.0,5TPN,3.7485929
24,24,sample_55,23,23,23,63,0.689,2.107,0.739,6.242,0.587,0.0,0.587,0.0,5TPN,1.2428455
25,25,sample_11,24,24,24,51,0.288,7.711,0.465,14.31,0.0,0.078,0.078,0.0,5TPN,4.9257555
26,26,sample_33,25,25,25,74,0.336,7.18,0.485,15.679,0.351,0.054,0.405,0.0,5TPN,3.7902994
