,index,domain,single_cluster_idx,complete_cluster_idx,average_cluster_idx,seqlen,scTM,scRMSD,pLDDT,pAE,pct_helix,pct_strand,pct_ss,pct_left_helix,task,motifRMSD
0,0,sample_0,0,0,0,72,0.843,1.857,0.713,7.908,0.431,0.167,0.597,0.0,5TPN,0.7922443
1,1,sample_1,1,1,1,62,0.45,4.703,0.508,12.042,0.274,0.065,0.339,0.0,5TPN,3.634406
2,2,sample_10,2,2,2,51,0.696,1.976,0.57,10.066,0.255,0.098,0.353,0.0,5TPN,1.3511553
3,3,sample_11,3,3,3,58,0.251,8.967,0.478,14.951,0.259,0.0,0.259,0.0,5TPN,2.9689312
4,4,sample_12,4,4,4,63,0.619,2.477,0.648,9.299,0.143,0.143,0.286,0.0,5TPN,1.5611877
5,5,sample_13,5,5,5,74,0.426,7.893,0.508,12.387,0.095,0.243,0.338,0.0,5TPN,2.505639
6,6,sample_14,6,6,6,60,0.421,5.946,0.605,13.032,0.4,0.067,0.467,0.0,5TPN,2.779153
7,7,sample_15,7,7,7,70,0.577,3.501,0.649,11.679,0.614,0.0,0.614,0.0,5TPN,2.6349437
8,8,sample_16,8,8,8,58,0.531,3.699,0.628,9.677,0.5,0.0,0.5,0.0,5TPN,2.0321114
9,9,sample_17,9,9,9,63,0.766,2.057,0.835,3.324,0.651,0.0,0.651,0.0,5TPN,1.9276445
10,10,sample_18,10,10,10,66,0.511,4.566,0.634,13.424,0.379,0.076,0.455,0.0,5TPN,1.7828169
11,11,sample_19,11,11,11,61,0.875,1.44,0.717,5.733,0.377,0.213,0.59,0.0,5TPN,1.9797229
12,12,sample_2,94,94,94,74,0.896,1.405,0.78,5.606,0.162,0.257,0.419,0.0,5TPN,1.2021471
13,13,sample_20,12,12,12,64,0.724,3.738,0.622,9.113,0.438,0.094,0.531,0.0,5TPN,1.1043737
14,14,sample_21,13,13,13,61,0.535,3.815,0.681,10.437,0.574,0.0,0.574,0.0,5TPN,1.8952117
15,15,sample_22,14,14,14,67,0.589,3.21,0.551,13.551,0.284,0.164,0.448,0.0,5TPN,2.8885279
16,16,sample_23,15,15,15,72,0.836,1.492,0.837,4.447,0.611,0.0,0.611,0.0,5TPN,1.5522803
17,17,sample_24,16,16,16,62,0.598,4.224,0.549,10.526,0.161,0.258,0.419,0.0,5TPN,2.6259365
18,18,sample_25,17,17,17,60,0.736,1.916,0.831,4.202,0.767,0.0,0.767,0.0,5TPN,1.7388992
19,19,sample_26,18,18,18,72,0.655,2.616,0.6,11.157,0.25,0.194,0.444,0.0,5TPN,1.4408325
20,20,sample_27,19,19,19,68,0.385,8.061,0.767,7.933,0.691,0.0,0.691,0.0,5TPN,2.764193
21,21,sample_28,20,20,20,71,0.496,5.191,0.748,6.613,0.62,0.0,0.62,0.0,5TPN,2.3355975
22,22,sample_29,21,21,21,75,0.647,2.992,0.561,11.244,0.24,0.32,0.56,0.0,5TPN,2.2446742
23,23,sample_3,22,22,22,66,0.803,1.873,0.656,8.493,0.288,0.0,0.288,0.0,5TPN,0.71501875
24,24,sample_30,23,23,23,69,0.333,6.191,0.454,15.787,0.319,0.116,0.435,0.0,5TPN,2.315104
25,25,sample_31,24,24,24,62,0.466,8.588,0.676,9.865,0.677,0.0,0.677,0.0,5TPN,5.965638
26,26,sample_32,25,25,25,74,0.465,5.559,0.742,12.405,0.716,0.0,0.716,0.0,5TPN,2.8252413
27,27,sample_33,26,26,26,53,0.55,3.783,0.535,11.176,0.189,0.075,0.264,0.0,5TPN,1.1243594
28,28,sample_34,27,27,27,59,0.588,2.735,0.675,7.475,0.237,0.186,0.424,0.0,5TPN,1.5480806
29,29,sample_35,28,28,28,71,0.714,2.302,0.542,10.173,0.183,0.183,0.366,0.0,5TPN,1.7642103
30,30,sample_36,29,29,29,66,0.44,4.461,0.519,11.462,0.318,0.061,0.379,0.0,5TPN,2.2699494
31,31,sample_37,96,96,96,75,0.904,1.534,0.76,5.724,0.4,0.16,0.56,0.0,5TPN,1.1349325
32,32,sample_38,30,30,30,67,0.443,5.906,0.56,11.334,0.612,0.0,0.612,0.0,5TPN,2.0116456
33,33,sample_39,31,31,31,53,0.429,5.998,0.563,11.022,0.226,0.094,0.321,0.0,5TPN,2.632556
34,34,sample_4,32,32,32,72,0.449,11.114,0.672,12.127,0.75,0.0,0.75,0.0,5TPN,3.049121
35,35,sample_40,33,33,33,72,0.861,1.432,0.868,3.039,0.528,0.139,0.667,0.0,5TPN,1.722991
36,36,sample_41,34,34,34,68,0.735,2.23,0.679,10.1,0.515,0.0,0.515,0.0,5TPN,1.0949676
37,37,sample_42,35,35,35,65,0.318,7.55,0.466,15.357,0.292,0.0,0.292,0.0,5TPN,3.4149446
38,38,sample_43,36,36,36,61,0.582,5.705,0.645,14.077,0.557,0.0,0.557,0.0,5TPN,2.1867828
39,39,sample_44,37,37,37,73,0.937,0.829,0.819,3.831,0.438,0.151,0.589,0.0,5TPN,1.0182962
40,40,sample_45,38,38,38,69,0.421,6.175,0.572,16.707,0.435,0.0,0.435,0.0,5TPN,2.369586
41,41,sample_46,39,39,39,72,0.758,2.263,0.602,9.471,0.278,0.0,0.278,0.0,5TPN,1.1222434
42,42,sample_47,40,40,40,60,0.594,3.53,0.603,9.169,0.167,0.133,0.3,0.0,5TPN,1.4357564
43,43,sample_48,96,96,96,71,0.783,2.042,0.651,8.903,0.211,0.169,0.38,0.0,5TPN,0.98739743
